"day_of_month","total_trip","time_day"
"Saturday ",260002,"Afternoon"
"Sunday   ",231179,"Afternoon"
"Friday   ",195166,"Afternoon"
"Monday   ",179686,"Afternoon"
"Thursday ",178156,"Afternoon"
"Tuesday  ",168161,"Afternoon"
"Thursday ",167172,"Evening"
"Wednesday",167026,"Evening"
"Wednesday",166711,"Afternoon"
"Tuesday  ",162009,"Evening"
"Tuesday  ",158915,"Morning"
"Thursday ",156091,"Morning"
"Wednesday",155959,"Morning"
"Monday   ",155528,"Evening"
"Saturday ",144457,"Morning"
"Friday   ",143047,"Evening"
"Monday   ",142053,"Morning"
"Friday   ",135034,"Morning"
"Saturday ",130081,"Evening"
"Saturday ",129912,"Night"
"Sunday   ",117904,"Morning"
"Sunday   ",107636,"Evening"
"Friday   ",101528,"Night"
"Thursday ",99762,"Night"
"Sunday   ",99632,"Night"
"Wednesday",91778,"Night"
"Tuesday  ",83717,"Night"
"Monday   ",80633,"Night"
