"station","total_trips"
"Streeter Dr & Grand Ave",59464
"DuSable Lake Shore Dr & North Blvd",34588
"Wells St & Concord Ln",34004
"DuSable Lake Shore Dr & Monroe St",32614
"Clark St & Elm St",31901
"Michigan Ave & Oak St",31795
"Kingsbury St & Kinzie St",31601
"Millennium Park",28831
"Wells St & Elm St",28539
"Theater on the Lake",28393
"Clark St & Armitage Ave",25754
"Broadway & Barry Ave",25534
"Clark St & Lincoln Ave",24564
"Wabash Ave & Grand Ave",24545
"Clinton St & Madison St",24505
"Wilton Ave & Belmont Ave",23988
"Dearborn St & Erie St",23717
"Wells St & Huron St",23672
"Clinton St & Washington Blvd",23629
"Clark St & Wrightwood Ave",23452
