"month_year","average_per_month","member_casual"
"March     2022","00:26:43","casual"
"January   2022","00:26:08","casual"
"May       2022","00:25:55","casual"
"April     2022","00:24:15","casual"
"July      2022","00:23:51","casual"
"December  2021","00:23:42","casual"
"June      2022","00:23:37","casual"
"February  2022","00:22:42","casual"
"August    2022","00:22:07","casual"
"November  2021","00:21:01","casual"
"September 2022","00:20:50","casual"
"October   2022","00:19:49","casual"
"June      2022","00:13:40","member"
"July      2022","00:13:31","member"
"May       2022","00:13:14","member"
"August    2022","00:13:06","member"
"September 2022","00:12:38","member"
"March     2022","00:11:42","member"
"October   2022","00:11:42","member"
"April     2022","00:11:32","member"
"November  2021","00:10:53","member"
"February  2022","00:10:37","member"
"December  2021","00:10:30","member"
"January   2022","00:10:11","member"
